             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           1056885      ihub  time.sh ekansh.c PD       0:00      1 (ReqNodeNotAvail, UnavailableNodes:gnode097)
           1056153      ihub    i13-a prathit. PD       0:00      1 (Dependency)
           1054733      ihub  a13-(1) prathit. PD       0:00      1 (Dependency)
           1054730      ihub   a13-m5 prathit. PD       0:00      1 (Dependency)
           1054724      ihub   a5-(1) prathit. PD       0:00      1 (Dependency)
           1054422      ihub  a11-(1) prathit. PD       0:00      1 (Dependency)
           1054418      ihub   a11-m5 prathit. PD       0:00      1 (Dependency)
           1054407      ihub  a10-(1) prathit. PD       0:00      1 (Dependency)
           1054381      ihub   a9-(1) prathit. PD       0:00      1 (Dependency)
           1054376      ihub    a9-m5 prathit. PD       0:00      1 (DependencyNeverSatisfied)
           1054361      ihub   a6-(1) prathit. PD       0:00      1 (Dependency)
           1054358      ihub    a6-m5 prathit. PD       0:00      1 (Dependency)
           1056960      ihub sbatch.s soham.ko  R    1:35:35      2 gnode[099,105]
           1056954      ihub interact     deva  R    1:49:03      1 gnode096
           1054729      ihub   a13-m4 prathit.  R    6:04:47      1 gnode107
           1056719      ihub 2007_5vw vasavi.c  R    7:19:05      1 gnode109
           1056887      ihub time_nor ekansh.c  R    7:22:31      1 gnode098
           1056255      ihub 1860_1nh vasavi.c  R    8:25:21      1 gnode107
           1056253      ihub 1858_5nk vasavi.c  R   10:58:10      1 gnode106
           1054357      ihub    a6-m4 prathit.  R   11:42:19      1 gnode098
           1054403      ihub   a10-m5 prathit.  R   14:03:30      1 gnode098
           1056208      ihub   i12-s5 mrudul.m  R   15:55:19      1 gnode098
           1056207      ihub   i12-s4 mrudul.m  R   22:13:14      1 gnode112
           1056150      ihub  i13-s10 prathit.  R   22:51:14      1 gnode112
           1056146      ihub   i13-s9 prathit.  R   22:52:34      1 gnode112
           1056145      ihub   i13-s8 prathit.  R   22:54:08      1 gnode111
           1056140      ihub   i13-s7 prathit.  R   22:55:52      1 gnode111
           1056138      ihub   i13-s6 prathit.  R   22:57:40      1 gnode093
           1056100      ihub amypred. abhay.ks  R 1-00:25:49      1 gnode101
           1055805      ihub batch_sc bhaskar.  R 1-11:32:30      2 gnode[095-096]
           1055544      ihub 1831_2y7 vasavi.c  R 1-18:08:49      1 gnode110
           1055542      ihub 1829_2hf vasavi.c  R 1-18:09:56      1 gnode110
           1055541      ihub 1828_3g5 vasavi.c  R 1-18:10:11      1 gnode110
           1055035      ihub pafnucy1 prakul.a  R 2-08:32:50      1 gnode110
           1054719      ihub   i13-s5 prathit.  R 2-09:58:10      1 gnode106
           1054718      ihub   i13-s4 prathit.  R 2-10:18:39      1 gnode094
           1054717      ihub   i13-s3 prathit.  R 2-10:21:15      1 gnode094
           1054716      ihub   i13-s2 prathit.  R 2-11:20:26      1 gnode094
           1054415      ihub   a11-m4 prathit.  R 2-22:16:48      1 gnode104
           1054380      ihub 1841_4ox vasavi.c  R 2-22:28:38      1 gnode093
           1053992      ihub jupyter_ ekansh.c  R 3-13:50:35      2 gnode[100,111]
           1054366      long     bash sayandeb PD       0:00      1 (Resources)
           1056841      long interact   aparna PD       0:00      1 (Resources)
           1056927      long interact manugaur PD       0:00      1 (ReqNodeNotAvail, UnavailableNodes:gnode059)
           1056926      long interact manugaur PD       0:00      1 (ReqNodeNotAvail, UnavailableNodes:gnode059)
           1056925      long interact manugaur PD       0:00      1 (ReqNodeNotAvail, UnavailableNodes:gnode059)
           1056924      long interact manugaur PD       0:00      1 (Resources)
           1056375      long    ViNet jainsidd PD       0:00      1 (AssocGrpGRES)
